Repo_Name,Repo_URL,PRs_Total,Commits_With_Claude_Code_Signature,Commits_With_Cursor_Signature,Commits_With_GitHub_Copilot_Signature,Commits_With_Codex_Signature,Commits_With_Generic_AI_Marker_Signature,Total_AI_Signed_Commits_Any_Signature,Bot_Contributor_Accounts,Bot_Contributor_Count,Bot_Total_Contributions
cockpit-tools,https://github.com/jlcodes99/cockpit-tools,520,1,3,6,0,0,10,github-actions[bot],1,212
mcp-chrome,https://github.com/hangwin/mcp-chrome,89,5,0,0,0,5,10,,0,0
ai-website-cloner-template,https://github.com/JCodesMore/ai-website-cloner-template,76,8,0,1,0,0,9,,0,0
pest,https://github.com/pestphp/pest,671,8,0,1,0,0,9,dependabot[bot],1,6
1Panel,https://github.com/1Panel-dev/1Panel,5747,2,0,6,0,0,8,"dependabot[bot], Copilot",2,27
meetily,https://github.com/Zackriya-Solutions/meetily,350,5,0,0,0,3,8,,0,0
speech-to-speech,https://github.com/huggingface/speech-to-speech,345,6,1,1,0,0,8,"dependabot[bot], github-actions[bot], hf-dependantbot-rollout[bot]",3,12
Crucix,https://github.com/calesthio/Crucix,87,8,0,0,0,0,8,,0,0
MIRIX,https://github.com/Mirix-AI/MIRIX,69,8,0,0,0,0,8,,0,0
Anthropic-Cybersecurity-Skills,https://github.com/mukul975/Anthropic-Cybersecurity-Skills,73,5,0,2,0,0,7,claude[bot],1,1
maxun,https://github.com/getmaxun/maxun,859,7,0,0,0,0,7,,0,0
anything-llm,https://github.com/Mintplex-Labs/anything-llm,2186,5,1,0,0,0,6,,0,0
QwenPaw,https://github.com/agentscope-ai/QwenPaw,3493,2,2,2,0,0,6,,0,0
cli,https://github.com/googleworkspace/cli,565,6,0,0,0,0,6,github-actions[bot],1,12
taipy,https://github.com/Avaiga/taipy,1628,0,0,6,0,0,6,"github-actions[bot], dependabot[bot]",2,36
OpenShell,https://github.com/NVIDIA/OpenShell,1660,3,1,2,0,0,6,dependabot[bot],1,40
MaxKB,https://github.com/1Panel-dev/MaxKB,3549,1,0,4,0,0,5,"dependabot[bot], Copilot",2,57
better-genshin-impact,https://github.com/babalae/better-genshin-impact,1058,3,1,1,0,0,5,,0,0
eino,https://github.com/cloudwego/eino,812,5,0,0,0,0,5,,0,0
brigade,https://github.com/spinabot/brigade,132,0,0,4,0,0,4,"github-actions[bot], dependabot[bot]",2,79
OpenBB,https://github.com/OpenBB-finance/OpenBB,5023,1,1,1,0,0,3,,0,0
ansible,https://github.com/ansible/ansible,52888,3,0,0,0,0,3,,0,0
TencentDB-Agent-Memory,https://github.com/TencentCloud/TencentDB-Agent-Memory,833,0,3,0,0,0,3,,0,0
Everywhere,https://github.com/Sylinko/Everywhere,200,0,0,3,0,0,3,,0,0
openai-agents-python,https://github.com/openai/openai-agents-python,3127,0,0,0,2,0,2,"github-actions[bot], dependabot[bot]",2,243
pgai,https://github.com/timescale/pgai,818,1,0,0,0,1,2,"github-actions[bot], dependabot[bot]",2,27
nullhub,https://github.com/nullclaw/nullhub,61,2,0,0,0,0,2,,0,0
gemini-cli,https://github.com/google-gemini/gemini-cli,12660,0,0,1,0,0,1,dependabot[bot],1,14
qlib,https://github.com/microsoft/qlib,1239,0,0,1,0,0,1,dependabot[bot],1,19
MagicMirror,https://github.com/MagicMirrorOrg/MagicMirror,2434,1,0,0,0,0,1,dependabot[bot],1,5
ralph,https://github.com/snarktank/ralph,117,1,0,0,0,0,1,,0,0
DojoAgents,https://github.com/Alpha-Dojo/DojoAgents,132,1,0,0,0,0,1,,0,0
row-bot,https://github.com/siddsachar/row-bot,257,1,0,0,0,0,1,dependabot[bot],1,11
MetaGPT,https://github.com/FoundationAgents/MetaGPT,1080,0,0,0,0,0,0,,0,0
Open-Assistant,https://github.com/LAION-AI/Open-Assistant,1960,0,0,0,0,0,0,dependabot[bot],1,58
CasaOS,https://github.com/IceWhaleTech/CasaOS,327,0,0,0,0,0,0,allcontributors[bot],1,15
khoj,https://github.com/khoj-ai/khoj,644,0,0,0,0,0,0,,0,0
AgentGPT,https://github.com/reworkd/AgentGPT,1081,0,0,0,0,0,0,dependabot[bot],1,64
Jobs_Applier_AI_Agent_AIHawk,https://github.com/feder-cr/Jobs_Applier_AI_Agent_AIHawk,327,,,,,,0,,0,0
ha_xiaomi_home,https://github.com/XiaoMi/ha_xiaomi_home,282,0,0,0,0,0,0,,0,0
rasa,https://github.com/RasaHQ/rasa,6457,0,0,0,0,0,0,"dependabot[bot], dependabot-preview[bot]",2,203
CopyTranslator,https://github.com/CopyTranslator/CopyTranslator,101,0,0,0,0,0,0,"allcontributors[bot], dependabot[bot]",2,15
SuperAGI,https://github.com/TransformerOptimus/SuperAGI,1006,0,0,0,0,0,0,,0,0
leon,https://github.com/leon-ai/leon,240,0,0,0,0,0,0,"dependabot[bot], github-actions[bot]",2,38
openagent,https://github.com/the-open-agent/openagent,1649,0,0,0,0,0,0,"Copilot, github-actions[bot]",2,105
TaskingAI,https://github.com/TaskingAI/TaskingAI,277,0,0,0,0,0,0,dependabot[bot],1,5
AgentVerse,https://github.com/OpenBMB/AgentVerse,66,0,0,0,0,0,0,,0,0
OpenMemory,https://github.com/CaviraOSS/OpenMemory,113,,,,,,0,"github-actions[bot], Copilot",2,30
Jarvis,https://github.com/sukeesh/Jarvis,728,0,0,0,0,0,0,,0,0
susi_server,https://github.com/fossasia/susi_server,647,0,0,0,0,0,0,,0,0
