Repo_Name,Repo_URL,Has_SECURITY_File_In_Docs,Has_README_In_Docs,Total_Doc_Files_Scanned,SECURITY_MD_Char_Count,Has_Contact_Channel,Has_Response_SLA,Has_Supported_Versions,Has_PGP_Key,Sandboxing,Human_Approval_Gate,Tool_Allow_Deny_List,Rate_Limiting,Credential_Handling,Prompt_Injection_Awareness,Audit_Logging,Guardrail_Signal_Count
Jarvis,https://github.com/sukeesh/Jarvis,False,True,13,0,False,False,False,False,False,False,False,True,False,False,False,1
MagicMirror,https://github.com/MagicMirrorOrg/MagicMirror,True,True,17,1146,True,False,False,False,False,False,True,False,False,False,False,1
MaxKB,https://github.com/1Panel-dev/MaxKB,True,True,14,405,False,False,False,False,True,False,False,False,False,False,False,1
MinerU,https://github.com/opendatalab/MinerU,True,True,72,1225,True,False,True,False,False,False,True,False,False,False,False,1
TaskingAI,https://github.com/TaskingAI/TaskingAI,False,True,130,0,False,False,False,False,False,False,False,False,True,False,False,1
better-genshin-impact,https://github.com/babalae/better-genshin-impact,False,True,35,0,False,False,False,False,False,False,True,False,False,False,False,1
eino,https://github.com/cloudwego/eino,False,True,9,0,False,False,False,False,False,True,False,False,False,False,False,1
leon,https://github.com/leon-ai/leon,False,True,25,0,False,False,False,False,False,False,False,True,False,False,False,1
letta,https://github.com/letta-ai/letta,True,True,7,1432,True,False,False,False,False,True,False,False,False,False,False,1
maxun,https://github.com/getmaxun/maxun,True,True,8,2276,True,True,False,False,True,False,False,False,False,False,False,1
signoz,https://github.com/SigNoz/signoz,True,True,137,1492,True,False,True,False,False,False,True,False,False,False,False,1
tradingview-mcp,https://github.com/tradesdontlie/tradingview-mcp,True,True,12,1234,True,False,False,False,False,True,False,False,False,False,False,1
Agent-Reach,https://github.com/Panniantong/Agent-Reach,True,True,29,1302,True,True,True,False,False,False,False,False,False,False,False,0
AgentGPT,https://github.com/reworkd/AgentGPT,True,True,26,501,True,False,True,False,False,False,False,False,False,False,False,0
AgentVerse,https://github.com/OpenBMB/AgentVerse,False,True,29,0,False,False,False,False,False,False,False,False,False,False,False,0
AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,False,False,0,0,False,False,False,False,False,False,False,False,False,False,False,0
CasaOS,https://github.com/IceWhaleTech/CasaOS,True,True,7,224,True,False,True,False,False,False,False,False,False,False,False,0
JeecgBoot,https://github.com/jeecgboot/JeecgBoot,False,False,0,0,False,False,False,False,False,False,False,False,False,False,False,0
SuperAGI,https://github.com/TransformerOptimus/SuperAGI,False,True,44,0,False,False,False,False,False,False,False,False,False,False,False,0
ToolJet,https://github.com/ToolJet/ToolJet,False,False,0,0,False,False,False,False,False,False,False,False,False,False,False,0
ai-website-cloner-template,https://github.com/JCodesMore/ai-website-cloner-template,True,True,26,1998,True,False,True,False,False,False,False,False,False,False,False,0
ansible,https://github.com/ansible/ansible,False,False,0,0,False,False,False,False,False,False,False,False,False,False,False,0
gemini-cli,https://github.com/google-gemini/gemini-cli,False,False,0,0,False,False,False,False,False,False,False,False,False,False,False,0
ha_xiaomi_home,https://github.com/XiaoMi/ha_xiaomi_home,False,True,8,0,False,False,False,False,False,False,False,False,False,False,False,0
langchain4j,https://github.com/langchain4j/langchain4j,False,False,0,0,False,False,False,False,False,False,False,False,False,False,False,0
medusa,https://github.com/medusajs/medusa,False,False,0,0,False,False,False,False,False,False,False,False,False,False,False,0
n8n,https://github.com/n8n-io/n8n,False,False,0,0,False,False,False,False,False,False,False,False,False,False,False,0
nacos,https://github.com/alibaba/nacos,False,False,0,0,False,False,False,False,False,False,False,False,False,False,False,0
nullhub,https://github.com/nullclaw/nullhub,False,True,9,0,False,False,False,False,False,False,False,False,False,False,False,0
pest,https://github.com/pestphp/pest,True,True,14,687,True,False,False,False,False,False,False,False,False,False,False,0
qlib,https://github.com/microsoft/qlib,True,True,136,2780,True,False,False,True,False,False,False,False,False,False,False,0
ralph,https://github.com/snarktank/ralph,False,True,7,0,False,False,False,False,False,False,False,False,False,False,False,0
spring-ai-alibaba,https://github.com/alibaba/spring-ai-alibaba,False,False,0,0,False,False,False,False,False,False,False,False,False,False,False,0
taipy,https://github.com/Avaiga/taipy,True,True,47,1004,True,False,True,False,False,False,False,False,False,False,False,0
unity-mcp,https://github.com/CoplayDev/unity-mcp,False,False,0,0,False,False,False,False,False,False,False,False,False,False,False,0
